"eventId","subEventName","playerId","positions.y","positions.x","positions.y.1","positions.x.1","matchId","eventName","teamId","matchPeriod","eventSec","subEventId","id","goal","league","teamId.opp"
10,"Shot",8717,50,75,100,100,2499725,"Shot",1624,"2H",22.5460790000002,100,178443159,0,"England",1613
10,"Shot",12536,64,94,0,0,2499725,"Shot",1613,"2H",235.138058,100,178443225,0,"England",1624
10,"Shot",8717,51,89,100,100,2499725,"Shot",1624,"2H",354.306134,100,178443269,0,"England",1613
10,"Shot",54,38,74,100,100,2499725,"Shot",1624,"2H",614.628581,100,178443347,0,"England",1613
10,"Shot",13484,53,94,100,100,2499725,"Shot",1624,"2H",936.753147,100,178443456,1,"England",1613
10,"Shot",8717,67,86,100,100,2499725,"Shot",1624,"2H",1044.719303,100,178443472,0,"England",1613
10,"Shot",54,65,92,100,100,2499725,"Shot",1624,"2H",1054.867057,100,178443477,0,"England",1613
10,"Shot",136441,54,88,100,100,2499725,"Shot",1624,"2H",1483.419015,100,178443622,1,"England",1613
10,"Shot",210044,50,75,100,100,2499725,"Shot",1624,"2H",1917.69172,100,178443741,0,"England",1613
10,"Shot",70215,65,82,0,0,2499725,"Shot",1613,"2H",2075.801577,100,178443839,0,"England",1624
10,"Shot",70215,62,96,0,0,2499725,"Shot",1613,"2H",2259.921292,100,178443884,0,"England",1624
10,"Shot",8004,66,90,0,0,2499725,"Shot",1613,"2H",2469.700061,100,178443938,0,"England",1624
10,"Shot",8717,43,89,100,100,2499725,"Shot",1624,"2H",2738.004318,100,178444034,0,"England",1613
10,"Shot",20857,37,95,0,0,2499726,"Shot",1619,"1H",81.310025,100,178218714,0,"England",10531
10,"Shot",383,58,94,0,0,2499726,"Shot",1619,"1H",210.14428,100,178218726,0,"England",10531
10,"Shot",7885,70,76,0,0,2499726,"Shot",1619,"1H",384.812286,100,178218750,0,"England",10531
10,"Shot",343951,49,94,100,100,2499726,"Shot",10531,"1H",587.500749,100,178218961,0,"England",1619
10,"Shot",20857,56,95,0,0,2499726,"Shot",1619,"1H",1052.351893,100,178218921,0,"England",10531
10,"Shot",8144,60,89,0,0,2499726,"Shot",1619,"1H",1144.011512,100,178218952,0,"England",10531
10,"Shot",8116,68,93,0,0,2499726,"Shot",1619,"1H",1246.441869,100,178218986,0,"England",10531
10,"Shot",8116,69,80,0,0,2499726,"Shot",1619,"1H",1426.815255,100,178219017,0,"England",10531
10,"Shot",8144,52,78,0,0,2499726,"Shot",1619,"1H",1483.717801,100,178219065,0,"England",10531
10,"Shot",8144,55,86,0,0,2499726,"Shot",1619,"1H",2089.542929,100,178219196,0,"England",10531
10,"Shot",70389,27,86,0,0,2499726,"Shot",1619,"1H",2092.32842,100,178219197,0,"England",10531
10,"Shot",61988,51,78,0,0,2499726,"Shot",1619,"1H",2153.497367,100,178219216,0,"England",10531
10,"Shot",703,46,93,0,0,2499726,"Shot",1619,"1H",2195.054245,100,178219224,0,"England",10531
10,"Shot",343951,40,91,100,100,2499726,"Shot",10531,"2H",56.3252379999999,100,178219653,0,"England",1619
10,"Shot",262,35,91,100,100,2499726,"Shot",10531,"2H",59.0912800000001,100,178219655,0,"England",1619
10,"Shot",383,52,81,0,0,2499726,"Shot",1619,"2H",139.240426,100,178219508,0,"England",10531
10,"Shot",8116,76,80,0,0,2499726,"Shot",1619,"2H",144.664184,100,178219510,0,"England",10531
10,"Shot",8192,81,79,100,100,2499726,"Shot",10531,"2H",241.873967,100,178219732,0,"England",1619
10,"Shot",20857,35,93,0,0,2499726,"Shot",1619,"2H",356.793771,100,178219555,0,"England",10531
10,"Shot",8116,58,90,0,0,2499726,"Shot",1619,"2H",941.399118,100,178219695,0,"England",10531
10,"Shot",20857,41,81,0,0,2499726,"Shot",1619,"2H",962.690953,100,178219702,0,"England",10531
10,"Shot",20857,73,91,0,0,2499726,"Shot",1619,"2H",1327.764256,100,178219820,0,"England",10531
10,"Shot",61988,52,82,0,0,2499726,"Shot",1619,"2H",1458.602795,100,178219868,0,"England",10531
10,"Shot",383,60,70,0,0,2499726,"Shot",1619,"2H",1985.758724,100,178219995,0,"England",10531
10,"Shot",703,44,96,0,0,2499726,"Shot",1619,"2H",2033.156187,100,178220004,0,"England",10531
10,"Shot",383,47,85,0,0,2499726,"Shot",1619,"2H",2222.412603,100,178220083,0,"England",10531
10,"Shot",70389,35,78,0,0,2499726,"Shot",1619,"2H",2486.607144,100,178220156,0,"England",10531
10,"Shot",215983,76,79,0,0,2499726,"Shot",1619,"2H",2635.721968,100,178220183,0,"England",10531
10,"Shot",8953,34,87,0,0,2499726,"Shot",1619,"2H",2834.347935,100,178220220,0,"England",10531
10,"Shot",20593,65,90,0,0,2499727,"Shot",1644,"1H",417.173119,100,178082823,0,"England",1612
10,"Shot",20505,45,95,0,0,2499727,"Shot",1644,"1H",467.429726,100,178082827,1,"England",1612
10,"Shot",25747,69,90,100,100,2499727,"Shot",1612,"1H",1698.524569,100,178083305,1,"England",1644
10,"Shot",28292,48,93,0,0,2499727,"Shot",1644,"1H",1860.806516,100,178083275,1,"England",1612
10,"Shot",7888,70,54,0,0,2499727,"Shot",1644,"1H",2160.292724,100,178083362,0,"England",1612
10,"Shot",120353,35,90,100,100,2499727,"Shot",1612,"1H",2260.263279,100,178083445,0,"England",1644
10,"Shot",25747,55,88,100,100,2499727,"Shot",1612,"1H",2840.723804,100,178083623,0,"England",1644
10,"Shot",120353,36,87,100,100,2499727,"Shot",1612,"2H",189.636685,100,178083690,0,"England",1644
10,"Shot",120353,44,96,100,100,2499727,"Shot",1612,"2H",712.521492,100,178083830,1,"England",1644
10,"Shot",4908,69,81,100,100,2499727,"Shot",1612,"2H",1108.3325,100,178083960,0,"England",1644
10,"Shot",14870,60,94,100,100,2499727,"Shot",1612,"2H",1144.318014,100,178083966,0,"England",1644
